name,url,image_url,scientific_name,conservation_status,size,diet,range,habitat,physical_characteristics,fun_fact
Great Hammerhead Shark,https://www.georgiaaquarium.org/animal/great-hammerhead-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2020/08/great-hammerhead-shark-2-250x250.jpg,Sphyrna mokarran,Critically Endangered,Common length 12-18 feet (3.6-5.5 m),Rays and skates,Most commonly found in shallow water,Warm temperate and tropical seas worldwide,"Largest species of hammerhead shark, with the most distinctly hammer-shaped head of this genus. Coloration is dark grey-brown dorsally and lighter grey ventrally. The body is broad and streamlined in shape with tall, curved dorsal fins, and a large, well-developed tail with distinct lobes. The front of the head is nearly straight across and greatly elongated laterally with flattened lobes. Eyes and nostrils are located on the ends of the lobes. Juvenile shark has a more curved hammer. As in many shark species, the female is larger than the male. The common length for adult females is 15-18 feet (4.6-5.5 m); the common length for adult males is about 12 feet (3.6 m). Common length at birth is about 1.6-2.3 feet (50-70 cm). Maximum length recorded was 20 feet (6.1 m). Maximum weight recorded was 991 pounds (449.5 kg).",
Green Moray Eel,https://www.georgiaaquarium.org/animal/green-moray-eel/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/green-moray-eel-4-250x250.jpg,Gymnothorax funebris,Least Concern,5 feet (1.5 m),Crustaceans and fishes,Atlantic Ocean,"Tropical waters near coral reefs, rocky shorelines and mangroves","Coloration is dark brown to green; the body is elongated, muscular and snakelike with a continuous dorsal, caudal and anal fin. Lacks pectoral and pelvic fins. Covered in a layer of yellow mucus to protect against parasites. Large mouth with many teeth. The teeth are large with smooth edges. Pharyngeal teeth located in the throat can move forward into the mouth. Common length: 5 feet (1.5 m); maximum length is 8.2 feet (2.5 m); maximum weight is 64 lbs. (29 kg)",Moray eels open their mouths to filter water over their gills.
Green Sea Turtle,https://www.georgiaaquarium.org/animal/green-sea-turtle/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/green-sea-turtle-5-250x250.jpg,Chelonia mydas,Endangered,3 feet (1 m) and can weigh 300 to 500 lbs. (136-227 kg),Sea grasses and algae,"Atlantic, Pacific and Indian Oceans, as well as the Mediterranean Sea",Tropical and subtropical waters,"Averages in weight from 300 to 500 lbs. (136–227 kg) and reaches approximately 3 feet (1 m) in length. Hatchling is about 2 inches (5 cm) long and weighs 0.05 ounces (25 g). The carapace, or upper shell, of the green sea turtle is light to dark brown in color with a creamy underside or plastron. The carapace is often blotched or streaked with olive or other shades of brown. Its skin is cream to yellow in color. This turtle has a relatively small, rounded head. Unlike land turtles, a sea turtle is unable to tuck its head and legs into its shell, making it vulnerable to sharks, the sea turtle’s only natural predator Green sea turtle fat is greenish in color. Its vegetarian diet is believed to be the reason for this.","Sea turtles differ from land and freshwater turtles in several ways. Unlike their relatives, sea turtles have modified flippers instead of legs, and are unable to draw their head and limbs into the shell."
Halfmoon,https://www.georgiaaquarium.org/animal/halfmoon/,https://www.georgiaaquarium.org/wp-content/uploads/2019/08/halfmoon-2-250x250.jpg,Medialuna californiensis,Least Concern,8-14 inches (20.3-35.5 cm),"Kelp, red and green algae",Eastern Pacific,Kelp forests and rocky reefs,"Coloration is a dark blue to blue-gray along the back, fading into a lighter blue-gray on the belly. Though color varies among members of the species, all have a distinct black spot just above the gill openings. Common length is 8-14 inches (20.3-35.5 cm). The body is oval in shape, with a rounded head and blunt nose.",The halfmoon has a strong relationship with the opaleye fish; juveniles of both species often school together during maturation.
Harbor Seal,https://www.georgiaaquarium.org/animal/harbor-seal/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/harbor-seal-51-250x250.jpg,Phoca vitulina,Least Concern,"4-6 feet (1.2-1.8 m) in length, weighing up to 375 lbs. (170 kg)","Fish, octopus, squid, crustaceans and mollusks",Arctic waters of the North Atlantic and North Pacific Oceans,"Shallow, near-shore waters of bays and estuaries, rocky shores and glacial fjords","Adult harbor seal can reach 4 to 6 feet (1.2 -1.8 m) in length and weighs up to 375 lbs. (170 kg). Males are slightly larger than females. Pups are about 30 to 39 inches (76-99 cm) long at birth and weigh approximately 24 lbs. (11 kg). Short webbed flippers in front are made up of five digits of equal length. Each digit has a short, blunt claw. Rear flippers are also webbed and have claws, and can be spread out into a wide fan shape. The harbor seal cannot rotate its rear flippers under its pelvis like the sea lion can. It moves on land with a caterpillar-like motion. The coat of the harbor seal ranges in color from silver-gray to black or dark brown. It is covered with spots or rings, which are more numerous on the back; in overlapping parts of their range, the harbor seal is often mistaken for the spotted seal. Fur is thick and short with coarse guard hairs and finer, denser under hair. Hair density increases with age. The harbor seal molts each year after the breeding season. It gradually loses its hair in patches. Molting lasts one to two months. There are oil glands in the skin that help waterproof the fur. The hair does not provide insulation. Long whiskers (“vibrissae”) on the seal’s face grow from thick pads on the upper lip and cheeks. They are used to detect prey in low light conditions by touch, vibration or water movement. The eyes are large and provide excellent underwater vision, particularly in low-light conditions. Vision on land is less acute. This seal has no tear ducts, so its eyes always have a tear-rimmed appearance out of water. This seal is a member of the family Phocidae, and therefore does not have ear flaps (as opposed to the sea lion, a member of family Otariidae).",The harbor seal's whiskers help it detect prey in low light.
Harlequin Rasbora,https://www.georgiaaquarium.org/animal/harlequin-rasbora/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/harlequin-rasbora-3-250x250.jpg,Trigonostigma heteromorpha,Least Concern,2 inches (5 cm),"Insects, worms, other small invertebrates","Malaysia, thailand, singapore","Peat swamps, forest pools, streams with lots of cover and plant matter","Body coloration is a shiny red-orange, marked by a distinctive black triangle that begins just below the dorsal fin and trails along that caudal peduncle. Occasionally displays a small dark streak behind the operculum. The eyes are very large and round. Harlequin rasbora can grow to 2 inches (5 cm) in length.",The female harlequin rasbora is often larger and rounder than the male.
Hawaiian Cleaner Shrimp,https://www.georgiaaquarium.org/animal/hawaiian-cleaner-shrimp/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/hawaiian-cleaner-shrimp-4-250x250.jpg,Lysmata amboinensis,Not Evaluated,2.5 inches (6.4 cm),"Crustaceans, worms, and parasites on fish","Indo-Pacific, particularly in Hawaii",Rocky crevices and holes,The body is long and thin with straw-like limbs and antennae. Its coloration is orange and the dorsal surface is red with a central white stripe. Its limbs are yellow to orange. Common length of 2.5 inches (6.4 cm).,Hawaiian cleaner shrimp are often found around eels.
Horned Puffin,https://www.georgiaaquarium.org/animal/horned-puffin/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/horned-puffin-4-250x250.jpg,Fratercula corniculata,Least Concern,12 inches (30.5 cm) tall,"Fish, squid, crustaceans and polychaetes (marine worms)",Northern Pacific and Southern Arctic,"Along sea coasts, rocky cliffs and offshore islands","Medium to large member of the auk, or alcid, family. Common height of 12 inches (30.5 cm). Wingspan range is 7-8 inches (18-20 cm). Coloration is black on the back, around the neck and on top of the head with white on the face, breast, belly and under the tail. Legs and feet are orange to red. Dark, hornlike projection from the top of the eye and thin, dark line from eye to nape. Very large, colorful bill during mating season. Yellow at the base and red at the tip. After the breeding season, undergoes annual molt, which takes place in fall to winter. The colorful outer part of the bill is shed, leaving behind the smaller, duller true bill. The face patch is grey, and the horn above each eye disappears. Males and females are similar in appearance. The males are larger. Juveniles appear similar to adults with a smaller, darker bill.","Unlike penguins, horned puffins and other alcids can fly, although they mostly swim while at sea."
Japanese Spider Crab,https://www.georgiaaquarium.org/animal/japanese-spider-crab/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/japanese-spider-crab-2-250x250.jpg,Macrocheira kaempferi,Not Evaluated,Up to 12 feet (3.7 m) across,"Omnivore, eating plants and algae as well as animals like mollusks",Pacific Ocean around Japan,"Seabed, deep sea vents and holes on the ocean floor",Japanese spider crabs get their name from their resemblance to a spider. It has a rounded body covered with stubby projections and long slim legs. Maximum size of up to 12 feet (3.7 m) across. Japanese spider crabs will grow to about 15 inches (38 cm) wide and the animal can weigh up to 44 lbs. (20 kg). Males are larger than females and have larger claws.,Japanese spider crabs put small animals on their shells as camouflage.
Kelp Bass,https://www.georgiaaquarium.org/animal/kelp-bass/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/motoro-ray-250x250.jpg,Paralabrax clathratus,Least Concern,Maximum length of 28 inches (71 cm),"Plankton, fish and cephalopods",Eastern Pacific,Kelp forests,"Coloration is brownish olive, with a random pattern of yellow spots on the head, two distinctive rows of white blotches on the upper back and calico spotting on the belly. Fins are yellow-toned in coloration and males adopt an orange chin during mating season. Largest recorded kelp bass was 28.3 inches (72 cm). Juveniles are light brown in color and usually lack the characteristic markings of mature kelp bass.","Adult kelp bass will often school together to prey on small fish. Each fish will pursue from a different direction, allowing the school to surround prey."
King Angelfish,https://www.georgiaaquarium.org/animal/king-angelfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/king-angelfish-3-250x250.jpg,Holacanthus passer,Not Evaluated,14 inches (36 cm),"Invertebrates, algae, sponges and plankton",Eastern Pacific Ocean,Clear water on rocky reefs and in coral areas,"Adults can reach about 14 inches (36 cm) in length. Adult king angelfish is a mottled dark blue-gray color with a white bar extending from the dorsal fin to the level of the pectoral fin, tapering at its lower end. The fan-shaped caudal fin is orange-yellow, as are the pectoral fins. Juveniles have a different color pattern than adults, displaying a brown and orange body with narrow vertical blue bars on their sides and blue margins on their dorsal and anal fins. They also have a blue bar behind their eyes.",
Lake Sturgeon,https://www.georgiaaquarium.org/animal/lake-sturgeon/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/lake-sturgeon-4-250x250.jpg,Acipenser fulvescens,Endangered,3 to 5 feet (1-1.5 m) in length,"Invertebrates, small fish, aquatic insects",North America,Bottom of lakes and large rivers,"Lake sturgeons can reach lengths of 7 feet (2.1 m) or more and weights of 200-300 lbs. (91-136 kg). More commonly, a mature adult averages between 3 to 5 feet (0.9-1.5 m) and 10 to 80 lbs. (4.5-36 kg). Primitive in appearance, the lake sturgeon has a torpedo-shaped body that is covered with five rows of bony plates: one on top and two rows along each side. Lake sturgeons are gray in color dorsally and white ventrally. There are four distinctive barbels near its mouth, which is on the underside of the head.","It is estimated that lake sturgeon can live to, and beyond, 100 years of age!"
Lemonpeel Angelfish,https://www.georgiaaquarium.org/animal/lemonpeel-angelfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/lemonpeel-angelfish-3-250x250.jpg,Centropyge flavissimus,Least Concern,5.5 inches (14 cm),Filamentous algae,Eastern Indian Ocean,Coral-rich lagoons and seaward reefs,"As name suggests, it is bright yellow in color with a blue edge on its cheek spine. Sometimes displays a blue ring around its eyes and has blue markings on the edges of its dorsal, anal and caudal fins. Juvenile displays a blue-rimmed black spot on each side of its body. Reaches 5.5 inches (14 cm) in length. This species and other members of the genusCentropygeare smaller than most other angelfish.",Lemonpeel angelfish are common and abundant in certain areas of its range but remains rare in Australia and New Guinea.
Leopard Bushfish,https://www.georgiaaquarium.org/animal/leopard-bushfish/,https://www.georgiaaquarium.org/wp-content/uploads/2019/07/leopard-bushfish-3-250x250.jpg,Ctenopoma acutirostre,Least Concern,6 inches (15 cm),"Small fish and crustaceans, amphibians, fish eggs, insects",Congo River basin,Rivers,"Body is rounded and laterally compressed with an elongated snout, wide mouth and large eyes. Common length is 6 inches (15 cm). Coloration is patterned with a golden-yellow base and brown spots.One of the most colorful species of theCtenopomagenus. One of the most colorful species of theCtenopomagenus. Exhibit spines on gill covers.Males tend to have more than females. Males tend to have more than females.",The leopard bushfish possesses a breathing organ (known as the labyrinth organ) that allows the fish to breathe atmospheric air.
Leopard Whipray,https://www.georgiaaquarium.org/animal/leopard-whipray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/leopard-whipray-3-250x250.jpg,Himantura undulata,Endangered,Up to 13.5 feet (4 m),"Crabs, shrimp and shelled invertebrates",Indo-West Pacific,Inshore over sandy bottoms and near reefs,"This is a large stingray that can reach 13.5 feet (4 m) in length, including its tail, and will grow to about 4.5 feet (1.4 m) in width. The newborn pups, on average, are about 8 inches (20 cm) wide. The tail is long and slender (up to three times the body length) and tapers to a fine point with a single spine (or barb). The snout is broadly triangular and the disc-shaped body is slightly longer than wide. The upper surface of the adult’s body and tail is sandy brown in color and covered in a pattern of closely spaced leopard-like circular black rings. Juveniles have gray to brown coloration with larger black spots.",The leopard whipray’s tail can be up to three times its body length.
Lesser Devil Ray,https://www.georgiaaquarium.org/animal/lesser-devil-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/lesser-devil-ray-3-250x250.jpg,Mobula hypostoma,Endangered,4 feet (1.2 m),Planktonic crustaceans and small schooling fishes,"Western Atlantic, Gulf of Mexico and Caribbean",Tropical and warm temperate waters,"Can grow to about 4 feet (1.2 m) in width. The lesser devil ray has a unique body shape very similar to that of the more familiar manta ray: a diamond-shaped outline with a wide mouth flanked by two broad, flexible, fleshy cephalic lobes. However, its head is narrower proportionally than that of a manta. The cephalic lobes are kept rolled and pointed forward except when it is feeding and they are opened to direct food into the mouth. The mouth has teeth in the upper and lower jaw. The tail is long and whip-like and does not contain a spine. The upper body surface is black. The outer cephalic lobes and lower part of the body and tail are pale yellowish or grayish white.","The lesser devil ray is often spotted swimming near the surface, and can jump completely out of the water."
Longcomb Sawfish,https://www.georgiaaquarium.org/animal/longcomb-sawfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/longcomb-sawfish-3-250x250.jpg,Pristis zijsron,Critically Endangered,18 feet (5.5 m),Slow schooling fishes,Indo-West Pacific,"Found in shallow bays, lagoons and estuaries","Common length of 18 feet (5.5 m), with a maximum length of 24 feet (7 m). Heavy, shark like body; very flat on ventral side. Long, narrow rostrum is common to all sawfish. In this species, the “saw” is the longest of all, reaching a maximum length of 5 feet (1.5 m). Typically has 25-34 rostral teeth (actually modified dermal denticles) on either side of the saw. Displays countershading; dark olive or grey on the dorsal side and pale yellow or white underneath.",The longcomb sawfish’s “saw” or rostrum can be as long as 5 feet (1.5 m).
Longhorn Cowfish,https://www.georgiaaquarium.org/animal/longhorn-cowfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/longhorn-cowfish-3-250x250.jpg,Lactoria cornuta,Not Evaluated,Up to 18 inches (46 cm),"Bottom layer algae, various microorganisms and marine protozoans",Indo-Pacific,Sand or rubble on the bottoms of coral reef lagoons,"A type of boxfish, recognizable by its two pairs of long horns protruding from the front of the head, such as with a cow or bull, and also beneath the tail. Males and females display a yellow to olive base color decorated with white or bluish spots. Lacks an operculum, or gill cover, and has a small slit or hole instead. Can grow up to 18 inches (46 cm) in length.",The longhorn cowfish is known for its hovering swimming motion.
Longnose Gar,https://www.georgiaaquarium.org/animal/longnose-gar/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/longnose-gar-6-250x250.jpg,Lepisosteus osseus,Least Concern,Up to 6 feet (1.8 m),"Fishes, small crustaceans, insect larvae",North America,Sluggish pools and backwaters of rivers and lakes,"Longnose gar has a very long, slender snout with a length of 18 to 20 times its width. Their long cylindrical body is covered with large, overlapping diamond-shaped scales, which distinguish them from all their freshwater relatives. These scales interlock to produce a virtual suit of armor leaving the gars with few natural predators. The dorsal fin is located far back on the body, almost over the anal fin. The caudal fin is broad, as is the caudal peduncle. Coloration is typically grayish to olive-green dorsally and on the sides; white or yellowish below. Longnose gar can grow to 6 feet (1.8 m) in length and weigh up to 50 lbs. (23 kg). Females are larger than males.",The longnose gar have overlapping scales that interlock to create a great armor for protection.
Longspine Snipefish,https://www.georgiaaquarium.org/animal/longspine-snipefish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/longspine-snipefish-3-250x250.jpg,Macroramphosus scolopax,Least Concern,4.7 inches (12 cm),Pelagic invertebrates and bottom invertebrates,"Atlantic Ocean and Mediterranean, as well as the Indo-West Pacific",Between seabeds and midwater on the continental shelf,"Adults commonly grow to 4.7 inches (12 cm) and can reach a maximum length of about 7.8 inches (20 cm). Oval-shaped, compressed rigid body with scutes on the underside. Coloration is reddish-pink fading to silvery below. Has a long snout that makes up about one-quarter of its body length. The mouth is at the tip of the snout. The second dorsal spine is long and serrated.",The longspine snipefish has a long snout that makes up about one-quarter of its body length.
Mandarinfish,https://www.georgiaaquarium.org/animal/mandarinfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/mandarinfish-2-250x250.jpg,Synchiropus splendidus,Least Concern,3 inches (8 cm),Small benthic (bottom dwelling) invertebrates,Western Pacific,"Among coral or in shallow, protected lagoons and inshore reefs","Small, broad-headed and elongated, scaleless fish that typically reaches about 3 inches (8 cm) in length. A brilliantly-colored fish, especially the male, with striking patterns of primarily green and orange. Classified as a “dragonet.”",Mandarinfish are classified as a “dragonet” and is usually found in small groups spread over a small area.
Manta Ray,https://www.georgiaaquarium.org/animal/giant-oceanic-manta-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/manta-ray-3-575x575.jpg,Mobula sp. cf. birostris,Endangered,20 feet (6 m),Plankton and small fish,"Western Atlantic, Gulf of Mexico","Reefs, atolls, island groups and the continental shelf","Has a broad head with an enormous wide mouth flanked by two broad, flexible, fleshy lobes (cephalic fins). These lobes are usually kept rolled and pointed forward except when the manta is feeding; at this time the cephalic lobes will be open and extended. Sometimes called the “devil ray” because when rolled and projected forward, the cephalic lobes have the appearance of horns. Reaches weights of up to 3,080 lbs. (1400 kg) can be up to 20 feet (6 m) across. This species of manta may show great variation in pattern, but generally can be described as such:Dorsal surface is dark in color with lighter shoulder patches. The underside is mostly white, dotted with black or charcoal blotches.The patterns on the shoulders and underside exhibit many arrangements and can help identify individual animals. Dorsal surface is dark in color with lighter shoulder patches. The underside is mostly white, dotted with black or charcoal blotches.The patterns on the shoulders and underside exhibit many arrangements and can help identify individual animals. Tail is whip-like and has a thick round mass at the base, just behind the dorsal fin. This is an identifying feature of this species.",Manta rays have been spotted jumping out of the water.
Moon Jelly,https://www.georgiaaquarium.org/animal/moon-jelly/,https://www.georgiaaquarium.org/wp-content/uploads/2019/08/moon-jelly-2-250x250.jpg,Aurelia aurita,Not Evaluated,Maximum diameter of 2 feet (61 cm),"Zooplankton, small shrimps, fish eggs and larvae",Worldwide in temperate seas,Surface water over reefs and along the coast,"Translucent and whitish in color, often shaded with pink or blue. The main parts include a shallow dome-shaped bell that can reach 2 feet (61 cm) in diameter, with numerous short, fine, fringe-like tentacles around the margin. In open water, extends tentacles that hang down like a veil. The four white, horseshoe-shaped structures that can be seen through its translucent bell are reproductive organs. Four oral arms hang down from the center of the bottom surface of the bell. These arms are not always obvious.",
Mosquitofish,https://www.georgiaaquarium.org/animal/mosquitofish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/mosquitofish-3-250x250.jpg,Gambusia affinis,Least Concern,1.5 inches (4 cm),"Zooplankton, small insects, detritus",North America and South America,"Vegetated ponds, lakes, backwaters, quiet pools","Mosquitofish are about 1.5 inches (4 cm) in length with a prominent round belly and a relatively large head that is flattened on the upper surface. Its small mouth is upturned and protrusible. The eyes are large relative to the body. Coloration is greenish-olive to brown above, gray-blue on the sides and silvery-white below. There is a characteristic pattern of small, diamond-shaped markings on its body formed by the dark pigment on the edges of the scales. Small dark dots are usually present on the body and tail.",
Motoro Ray,https://www.georgiaaquarium.org/animal/motoro-ray-2/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/motoro-ray-6-250x250.jpg,Potamotrygon motoro,Data Deficient,3.3 feet (1 m),Small fishes and invertebrates,River basins in Northern South America,"Shallow, murky waters","Coloration is brownish with circular spots on the back and tail. Flattened, disc-shaped body. Short tail has no dorsal fin, while its small pelvic fins are tucked under its pectoral fins. Venomous spine on the tail. Can grow to about 3.3 feet (1 m) in diameter and weigh 33 lbs. (15 kg).",The motoro ray's painful venom makes it more feared than the piranha.
Mourning Gecko,https://www.georgiaaquarium.org/animal/mourning-gecko/,https://www.georgiaaquarium.org/wp-content/uploads/2019/12/mourning-gecko-3-250x250.jpg,Lepidodactylus lugubris,Least Concern,2.7-3.7 inches (7-9.5 cm),"Insects, spiders, nectar and ripe fruit","North, Central and South America, Australia and many Pacific islands","Trees, bushes","Small, stout-bodied lizard, reaching a maximum size of 2.7-3.7 inches (7-9.5 cm). The skin on the back is smooth and lacks tubercles (small projections on the skin of many amphibians and reptiles that gives them a “warty” look). A dark line runs horizontally between the eyes, with another dark line extending from the tip of the snout, through the eye and onto the neck. Coloration includes thin, dark chevron lines separating lighter patches of skin.",
Ochre Sea Star,https://www.georgiaaquarium.org/animal/ochre-sea-star/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/ochre-sea-star-3-250x250.jpg,Pisaster ochraceus,Not Evaluated,6-14 inches (15-36 cm),"Mussels, clams, snails, barnacles and sea urchins",Eastern Pacific Ocean,Intertidal communities,"Measures 6-14 inches (15-36 cm) across. Color ranges between brown, yellow, purple, orange and red. Five stout arms, which are dotted with rough-feeling, small, white, blunt spines that form lined patterns. Spines are actually microscopic pinchers that remove any larva, algae or other growth that may settle on the sea star’s skin. The bottom of each arm is covered with thousands of tiny tube feet tipped in suction cups. The mouth is on the underside of the body in the middle of the central disk.",The mouth of the ochre sea star is on the underside of the body in the middle of the central disk.
Opaleye,https://www.georgiaaquarium.org/animal/opaleye/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/motoro-ray-250x250.jpg,Girella nigricans,Least Concern,26 inches (66 cm),"Kelp, seaweed and small invertabrates",Central Pacific Ocean,"Rocky areas, kelp beds or tide pools","Coloration is commonly olive green but can range to gray-green or brown, with one to three pale spots on the back and often a white bar across the snout.Eyes are bright blue to bright green. Eyes are bright blue to bright green. The average size is almost 26 inches (66 cm).",
Orbicular Batfish,https://www.georgiaaquarium.org/animal/orbicular-batfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/longfin-batfish-3-250x250.jpg,Platax orbicularis,Least Concern,27.5 inches (70 cm),Algae and a variety of invertebrates,Indo-Pacific,Coastal lagoons out to seaward reefs and occasionally in deeper water offshore,Adults grow to approximately 27.5 inches (70 cm) in length. The body is rounded and strongly compressed. Adults have a bony hump on their foreheads and their dorsal and anal fins are high and arched but in proportion to their bodies. Juveniles look very different from adults. They have very short bodies with extremely tall dorsal and anal fins and do not have a forehead hump. Coloration is yellowish silver or dusky in color and have a short dark vertical bar through the eye and another wider bar behind the operculum.,Juvenile orbicular batfish will mimic leaves for protection.
Ornate Uromastyx,https://www.georgiaaquarium.org/animal/ornate-uromastyx/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/ornate-uromastyx-4-250x250.jpg,Uromastyx ornata,Least Concern,15 inches (38 cm),"Leaves, seeds and flowers of many desert plants","Egypt, Israel, Saudi Arabia and Yemen","Dry, rocky desert environments with sparse vegetation","Coloration of male is primarily bright green, blue or sometimes red with striking yellow or brown pattern on the back. Female is more muted than the male, typically a lighter shade of brown with dark brown, yellow or red spots. Juveniles are cream to light brown with a black pattern on the back. Tail covered in rings of spiky scales. Common length of about 15 inches (38 cm).","Male ornate uromastyx are primarily bright green, blue or sometimes red with striking yellow or brown pattern on the back. Females are more muted than the males, typically a lighter shade of brown with dark brown, yellow or red spots."
Pacific Sea Nettle,https://www.georgiaaquarium.org/animal/pacific-sea-nettle/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/pacific-sea-nettle-6-250x250.jpg,Chrysaora fuscescens,Not Evaluated,1-3 feet (0.3–0.9 m),Zooplankton,Pacific Ocean,Open ocean,"A dome-shaped body called a “bell” that may measure 1-3 feet (0.3–0.9 m) in diameter. Bell is golden brown in color and has four ruffled oral arms extending down as much as 12 feet (3.7 m) from its underside. There are also about 24 to 40 thin, maroon tentacles extending downward from around the perimeter of the bell. This bell and tentacle body shape is the adult stage of the nettle, called a “medusa.”","The bell and tentacle body shape is the adult stage of the Pacific sea nettle, called a “medusa.”"
Pajama Cardinalfish,https://www.georgiaaquarium.org/animal/pajama-cardinalfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/pajama-cardinalfish-3-250x250.jpg,Sphaeramia nematoptera,Not Evaluated,3 inches (7.6 cm),Crustaceans,Western Pacific,"Lagoons, sheltered bays and reefs","White with a yellow head, a broad darker midsection bar, and purple spots on the rear of its body that disappear or fade during the evening. Has distinctive tail fins, and brightly colored red eyes. Maximum length was 3.3 inches (8.5 cm).",Male pajama cardinalfish are mouth brooders.
Palette Surgeonfish,https://www.georgiaaquarium.org/animal/palette-surgeonfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/palette-surgeonfish-3-250x250.jpg,Paracanthurus hepatus,Least Concern,10 inches (25 cm),Zooplankton and benthic algae,Indo-Pacific,Reef-associated species,"Easily recognized by its bright blue coloration with distinct black markings. Has a yellow tail with black upper and lower margins. As with all surgeonfish, this species has sharp spines on both sides of the caudal peduncle (where the caudal fin joins the fish’s body).  The spines are mildly venomous in this species. Can grow to 10 inches (25 cm) in length.","When alarmed, the palette surgeonfish will wedge itself tightly among coral branches."
Peacock Mantis Shrimp,https://www.georgiaaquarium.org/animal/peacock-mantis-shrimp/,https://www.georgiaaquarium.org/wp-content/uploads/2022/03/peacock-mantis-shrimp-2-250x250.jpg,Odontodactylus scyllarus,Not Evaluated,Up to 7 inches (18 cm),Crustaceans and mollusks,Indo-Pacific,Found in coral reefs and sand flats,"Flattened, segmented body with large blunt appendages held under the head. Large, compound eyes are capable of complex vision. While human eyes can see through three photoreceptors for light detection- red, blue and green, the mantis shrimp has 12 photoreceptors allowing them to see even more wavelengths of color. Eyes can move independently and in every direction. Bright, rainbow-hued animal. Males are more flashy, females will usually be redder overall. Adults may grow up to 7 inches (18 cm).",Some peacock mantis shrimp may create monogamous pairs that mate for life.
Pigeon Guillemot,https://www.georgiaaquarium.org/animal/pigeon-guillemot/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/pigeon-guillemot-3-250x250.jpg,Cepphus columba,Least Concern,12-14 inches (30-36 cm) long,Small fish and invertebrates,North Pacific,Rocky coastlines and inshore waters,"Coloration is dark brown to black with white patches on wings in summer; white with grey and black back in winter. Has red legs and webbed feet. Also features a thin, straight bill and a long, thin neck. Common length of 12-14 inches (30-36 cm). Common wingspan of 22-23 inches (56-58 cm). Common weight of 16-19 oz. (450-540 g). Juveniles are covered with black down feathers.","Unlike most auks, the pigeon guillemot will use its feet to propel itself while diving underwater, as well as its wings."
Pink Sea Star,https://www.georgiaaquarium.org/animal/pink-sea-star/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/pink-sea-star-2-250x250.jpg,Pisaster brevispinus,Not Evaluated,20-28 inches (51-71 cm),"Sand dollars, polychaetes, mussels, clams",Pacific Coast of North America,Subtidal areas with mud or sand bottom,"Has five rays, or arms, that are thickest near the central disk. The top surface is composed of tiny spines less than 0.75 inch (2 cm) in length. Can reach a diameter of 20-28 inches (51-71 cm). Arms may be up to 3 inches (7.6 cm) thick. Typically pink to lavender in color with a soft and smooth surface texture.",The pink sea star is an opportunistic scavenger feeding on dead fish and other animals.
Pink Skunk Clownfish,https://www.georgiaaquarium.org/animal/pink-skunk-clownfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/pink-skunk-clownfish-3-250x250.jpg,Amphiprion perideraion,Least Concern,2 inches (5 cm),"Phytoplankton, zooplankton",Indo-Pacific,Brackish or marine water on lagoons and seaward reefs,"Adults appear pink to orange in coloration. Its fins are either very light or transparent. A white stripe runs dorsally from its head to the caudal fin and a vertical stripe visually separates the head from the rest of its body. Mouth adapted with pharyngeal teeth and with a shape ideal for suction feeding. Individuals may grow to 4 inches (10 cm) in length, though they more commonly reach 1.8-2.2 inches (4.6-5.5 cm). The mucus on its flesh protects it from stings by host anemone.",This clownfish rarely leaves the area immediately surrounding its host anemone.
